aspect,pro,anti,total,diff,abs_diff,pro_share,anti_share
violent mob,0,7,7,-7,7,0.0,1.0
white america,8,14,22,-6,6,0.36363636363636365,0.6363636363636364
psyops,0,6,6,-6,6,0.0,1.0
justice system,6,0,6,6,6,1.0,0.0
michael brown,6,0,6,6,6,1.0,0.0
jordan neelys,5,0,5,5,5,1.0,0.0
liberals,60,56,116,4,4,0.5172413793103449,0.4827586206896552
constitution,0,4,4,-4,4,0.0,1.0
culture,4,0,4,4,4,1.0,0.0
black liberation organization,4,0,4,4,4,1.0,0.0
human trafficking,0,3,3,-3,3,0.0,1.0
antiblack racism,0,3,3,-3,3,0.0,1.0
steve bannon,2,0,2,2,2,1.0,0.0
george floyds,2,0,2,2,2,1.0,0.0
black families,2,0,2,2,2,1.0,0.0
institutional racism,0,1,1,-1,1,0.0,1.0
hindus,1,0,1,1,1,1.0,0.0
antifa trans,0,1,1,-1,1,0.0,1.0
gops,0,1,1,-1,1,0.0,1.0
racial slurs,0,1,1,-1,1,0.0,1.0
